Source,Sample,Tag.number,Recapture,Length,Sex,Colour,Damage.old.a,Damage.old.l,Damage.new.a,Damage.new.l,Dead,Individual.remarks,Reproductive.stage,Setose.state,Egg.stage,Moult.stage,Cable.tie,Trip,Outlier,Total.damage,Count,Family,Genus,Species
Dongara.Millers.Masters,2.1.IR2,191370,,48.9,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR2,,,32.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,K2142,,86.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,K2141,,85.1,Male,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,K2140,,75.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,K2139,,64.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,K2138,,73.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,K2137,,74.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,K2136,,85.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,K2135,,81.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,191369,,61.2,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,191368,,49,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,191367,,53.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,191366,,55.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,191365,,51.8,Male,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,191364,,45.7,Male,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,191363,,47.7,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,191362,,49.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,191361,,48.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR4,191360,,41.7,Male,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR3,K2134,,70.6,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR3,191359,,47.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR3,191358,,62,Male,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR3,K2133,,71.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR3,191357,,52.7,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR3,K2132,,73.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,2.1.IR3,191356,,54.2,Female,Red,0,0,0,0,Alive,,,,,,FALSE,2,,0,1,Palinuridae,Panulirus,cygnus
