Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Wkw
5.1.CHin2_12,-29.53587,114.9588,20180914,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin2,12,1,13,,
5.2.CHin2_12,-29.53656,114.9585,20180915,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin2,12,,13,,
5.2.CHin2_30,-29.53628,114.9588,20180915,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin2,30,,13,,
5.2.CHin2_33,-29.53557,114.9594,20180915,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin2,33,,13,,
5.1.CHin1_40,-29.52075,114.9605,20180914,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin1,40,1,13,,
5.1.CHin1_4,-29.52276,114.9606,20180914,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin1,4,1,13,,
5.1.CHin1_43,-29.52407,114.9601,20180914,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin1,43,1,13,,
5.1.CHin1_25,-29.52453,114.9603,20180914,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin1,25,1,13,,
5.1.CHin1_27,-29.52469,114.9601,20180914,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin1,27,1,13,,
5.1.CHin1_49,-29.52531,114.96,20180914,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin1,49,1,13,,
5.2.CHin1_49,-29.52562,114.96,20180915,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin1,49,1,13,,
5.2.CHin1_27,-29.52491,114.9601,20180915,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,Fish (1),Dongara.Millers.Masters,5,2,CHin1,27,1,13,,
5.2.CHin1_25,-29.52462,114.9601,20180915,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin1,25,1,13,,
5.2.CHin1_43,-29.52412,114.9602,20180915,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin1,43,1,13,,
